Date: 2025-04-02 13-14-17 UTC
Total active proxies: 483
 flag  country         city                socks5        ipv4             ipv6                                  speed  multihop  owned  provider       stboot  hostname      
 🇦🇺    Australia       Sydney              10.124.0.214  103.136.147.3    2a11:3:500::f001                      10     3214      ❌     xtom           ✔️      au-syd-wg-101 
 🇦🇺    Australia       Sydney              10.124.0.215  103.136.147.65   2a11:3:500::f101                      10     3215      ❌     xtom           ✔️      au-syd-wg-102 
 🇦🇺    Australia       Sydney              10.124.0.141  103.136.147.129  2a11:3:500::f201                      10     3141      ❌     xtom           ✔️      au-syd-wg-103 
 🇦🇺    Australia       Sydney              10.124.0.211  103.136.147.197  2a11:3:500::f301                      10     3211      ❌     xtom           ✔️      au-syd-wg-104 
 🇧🇪    Belgium         Brussels            10.124.2.42   91.90.123.2      2001:ac8:27:88::a01f                  10     3550      ❌     M247           ✔️      be-bru-wg-101 
 🇧🇪    Belgium         Brussels            10.124.2.43   194.110.115.34   2001:ac8:27:89::a02f                  10     3551      ❌     M247           ✔️      be-bru-wg-102 
 🇧🇪    Belgium         Brussels            10.124.2.44   194.110.115.2    2001:ac8:27:92::a03f                  10     3552      ❌     M247           ✔️      be-bru-wg-103 
 🇧🇬    Bulgaria        Sofia               10.124.0.225  146.70.188.130   2001:ac8:30:56::f001                  10     3225      ❌     M247           ✔️      bg-sof-wg-001 
 🇧🇬    Bulgaria        Sofia               10.124.0.226  146.70.188.194   2001:ac8:30:57::f001                  10     3226      ❌     M247           ✔️      bg-sof-wg-002 
 🇧🇷    Brazil          Sao Paulo           10.124.0.194  149.78.184.194   2804:5364:7000:40::f001               1      3194      ❌     Qnax           ✔️      br-sao-wg-001 
 🇧🇷    Brazil          Sao Paulo           10.124.2.31   169.150.198.66   2a02:6ea0:d00e:1::a01f                10     3539      ❌     DataPacket     ✔️      br-sao-wg-201 
 🇧🇷    Brazil          Sao Paulo           10.124.2.32   169.150.198.79   2a02:6ea0:d00e:2::a02f                10     3540      ❌     DataPacket     ✔️      br-sao-wg-202 
 🇨🇦    Canada          Montreal            10.124.0.231  146.70.198.66    2a0d:5600:9:c::f001                   10     3231      ❌     M247           ✔️      ca-mtr-wg-001 
 🇨🇦    Canada          Montreal            10.124.0.232  146.70.198.130   2a0d:5600:9:d::f001                   10     3232      ❌     M247           ✔️      ca-mtr-wg-002 
 🇨🇦    Canada          Montreal            10.124.0.233  146.70.198.194   2a0d:5600:9:e::a02f                   10     3233      ❌     M247           ✔️      ca-mtr-wg-003 
 🇨🇦    Canada          Montreal            10.124.0.234  188.241.176.194  2a0d:5600:9:16::f001                  10     3234      ❌     M247           ✔️      ca-mtr-wg-004 
 🇨🇦    Canada          Toronto             10.124.1.235  178.249.214.2    2a02:6ea0:de08:1::f001                10     3489      ❌     DataPacket     ✔️      ca-tor-wg-001 
 🇨🇦    Canada          Toronto             10.124.1.236  178.249.214.15   2a02:6ea0:de08:2::a29f                10     3490      ❌     DataPacket     ✔️      ca-tor-wg-002 
 🇨🇦    Canada          Toronto             10.124.0.47   198.44.140.130   2607:9000:6000:18::a01f               10     3047      ❌     Tzulo          ✔️      ca-tor-wg-101 
 🇨🇦    Canada          Toronto             10.124.0.51   198.54.132.98    2607:9000:6000:14::a02f               10     3051      ❌     Tzulo          ✔️      ca-tor-wg-102 
 🇨🇦    Canada          Toronto             10.124.0.63   198.54.132.226   2607:9000:6000:17::a03f               10     3063      ❌     Tzulo          ✔️      ca-tor-wg-103 
 🇨🇦    Canada          Toronto             10.124.0.66   198.54.132.130   2607:9000:6000:15::a04f               10     3066      ❌     Tzulo          ✔️      ca-tor-wg-104 
 🇨🇦    Canada          Toronto             10.124.0.67   198.44.140.162   2607:9000:6000:19::a05f               10     3067      ❌     Tzulo          ✔️      ca-tor-wg-105 
 🇨🇦    Canada          Toronto             10.124.0.68   198.54.132.162   2607:9000:6000:16::a26f               10     3068      ❌     Tzulo          ✔️      ca-tor-wg-106 
 🇨🇦    Canada          Toronto             10.124.0.15   198.44.140.194   2607:9000:6000:20::a07f               10     3015      ❌     Tzulo          ✔️      ca-tor-wg-107 
 🇨🇦    Canada          Toronto             10.124.0.81   23.234.84.2      2607:9000:600:31::f001                10     3081      ❌     Tzulo          ✔️      ca-tor-wg-201 
 🇨🇦    Canada          Toronto             10.124.1.110  23.234.84.127    2607:9000:600:32::f001                10     3364      ❌     Tzulo          ✔️      ca-tor-wg-202 
 🇨🇦    Canada          Toronto             10.124.1.111  23.234.85.2      2607:9000:600:33::f001                10     3365      ❌     Tzulo          ✔️      ca-tor-wg-203 
 🇨🇦    Canada          Toronto             10.124.1.112  23.234.85.127    2607:9000:600:34::f001                10     3366      ❌     Tzulo          ✔️      ca-tor-wg-204 
 🇨🇦    Canada          Toronto             10.124.1.113  23.234.86.2      2607:9000:600:35::f001                10     3367      ❌     Tzulo          ✔️      ca-tor-wg-205 
 🇨🇦    Canada          Toronto             10.124.1.114  23.234.86.127    2607:9000:600:36::f001                10     3368      ❌     Tzulo          ✔️      ca-tor-wg-206 
 🇨🇦    Canada          Toronto             10.124.1.115  23.234.87.2      2607:9000:600:37::f001                10     3369      ❌     Tzulo          ✔️      ca-tor-wg-207 
 🇨🇦    Canada          Vancouver           10.124.0.13   104.193.135.196  2606:9580:103:e::f001                 10     3013      ❌     techfutures    ✔️      ca-van-wg-201 
 🇨🇦    Canada          Vancouver           10.124.0.71   104.193.135.100  2606:9580:103:f::f001                 10     3071      ❌     techfutures    ✔️      ca-van-wg-202 
 🇨🇦    Canada          Vancouver           10.124.1.65   149.22.81.194    2a02:6ea0:5100:1::f001                10     3319      ❌     DataPacket     ✔️      ca-van-wg-301 
 🇨🇦    Canada          Vancouver           10.124.1.66   149.22.81.207    2a02:6ea0:5100:2::f001                10     3320      ❌     DataPacket     ✔️      ca-van-wg-302 
 🇨🇦    Canada          Calgary             10.124.0.174  38.240.225.36    2606:9580:438:32::b01f                10     3174      ❌     techfutures    ✔️      ca-yyc-wg-201 
 🇨🇦    Canada          Calgary             10.124.0.178  38.240.225.68    2606:9580:438:64::b02f                10     3178      ❌     techfutures    ✔️      ca-yyc-wg-202 
 🇨🇭    Switzerland     Zurich              10.124.0.121  193.32.127.66    2a03:1b20:a:f011::f001                20     3121      ✔️     31173          ✔️      ch-zrh-wg-001 
 🇨🇭    Switzerland     Zurich              10.124.0.122  193.32.127.67    2a03:1b20:a:f011::f101                20     3122      ✔️     31173          ✔️      ch-zrh-wg-002 
 🇨🇭    Switzerland     Zurich              10.124.0.123  193.32.127.68    2a03:1b20:a:f011::f201                20     3123      ✔️     31173          ✔️      ch-zrh-wg-003 
 🇨🇭    Switzerland     Zurich              10.124.0.124  193.32.127.69    2a03:1b20:a:f011::f301                20     3124      ✔️     31173          ✔️      ch-zrh-wg-004 
 🇨🇭    Switzerland     Zurich              10.124.0.125  193.32.127.70    2a03:1b20:a:f011::f401                20     3125      ✔️     31173          ✔️      ch-zrh-wg-005 
 🇨🇭    Switzerland     Zurich              10.124.0.241  193.32.127.84    2a03:1b20:a:f011::f601                20     3241      ✔️     31173          ✔️      ch-zrh-wg-006 
 🇨🇭    Switzerland     Zurich              10.124.0.105  179.43.189.66    2a02:29b8:dc01:1832::a1f              10     3105      ❌     PrivateLayer   ✔️      ch-zrh-wg-201 
 🇨🇭    Switzerland     Zurich              10.124.0.106  46.19.136.226    2a02:29b8:dc01:1831::f002             10     3106      ❌     PrivateLayer   ✔️      ch-zrh-wg-202 
 🇨🇭    Switzerland     Zurich              10.124.1.213  138.199.6.194    2a02:6ea0:d406:1::a18f                10     3467      ❌     DataPacket     ✔️      ch-zrh-wg-401 
 🇨🇭    Switzerland     Zurich              10.124.1.214  138.199.6.207    2a02:6ea0:d406:2::a19f                10     3468      ❌     DataPacket     ✔️      ch-zrh-wg-402 
 🇨🇭    Switzerland     Zurich              10.124.1.215  138.199.6.220    2a02:6ea0:d406:3::a20f                10     3469      ❌     DataPacket     ✔️      ch-zrh-wg-403 
 🇨🇭    Switzerland     Zurich              10.124.1.216  138.199.6.233    2a02:6ea0:d406:4::a21f                10     3470      ❌     DataPacket     ✔️      ch-zrh-wg-404 
 🇨🇭    Switzerland     Zurich              10.124.2.12   146.70.134.98    2001:ac8:28:a7::a36f                  10     3520      ❌     M247           ✔️      ch-zrh-wg-501 
 🇨🇭    Switzerland     Zurich              10.124.2.6    146.70.126.162   2001:ac8:28:a1::f001                  10     3514      ❌     M247           ✔️      ch-zrh-wg-502 
 🇨🇭    Switzerland     Zurich              10.124.2.7    146.70.126.194   2001:ac8:28:a2::f001                  10     3515      ❌     M247           ✔️      ch-zrh-wg-503 
 🇨🇭    Switzerland     Zurich              10.124.2.8    146.70.126.226   2001:ac8:28:a3::f001                  10     3516      ❌     M247           ✔️      ch-zrh-wg-504 
 🇨🇭    Switzerland     Zurich              10.124.2.9    146.70.134.2     2001:ac8:28:a4::a33f                  10     3517      ❌     M247           ✔️      ch-zrh-wg-505 
 🇨🇭    Switzerland     Zurich              10.124.2.10   146.70.134.34    2001:ac8:28:a5::a34f                  10     3518      ❌     M247           ✔️      ch-zrh-wg-506 
 🇨🇭    Switzerland     Zurich              10.124.2.11   146.70.134.66    2001:ac8:28:a6::a35f                  10     3519      ❌     M247           ✔️      ch-zrh-wg-507 
 🇨🇱    Chile           Santiago            10.124.1.20   149.88.104.2     2a02:6ea0:fc02:2::f001                10     3274      ❌     DataPacket     ✔️      cl-scl-wg-001 
 🇨🇱    Chile           Santiago            10.124.1.21   149.88.104.15    2a02:6ea0:fc02:3::f101                10     3275      ❌     DataPacket     ✔️      cl-scl-wg-002 
 🇨🇴    Colombia        Bogota              10.124.0.216  154.47.16.34     2a02:6ea0:f101:1::f001                10     3216      ❌     DataPacket     ✔️      co-bog-wg-001 
 🇨🇴    Colombia        Bogota              10.124.0.217  154.47.16.47     2a02:6ea0:f101:2::f001                10     3217      ❌     DataPacket     ✔️      co-bog-wg-002 
 🇨🇾    Cyprus          Nicosia             10.124.1.83   195.47.194.131   2a06:3040:f:601::f001                 10     3337      ❌     HostRoyale     ✔️      cy-nic-wg-001 
 🇨🇾    Cyprus          Nicosia             10.124.1.84   195.47.194.161   2a06:3040:f:601::f101                 10     3338      ❌     HostRoyale     ✔️      cy-nic-wg-002 
 🇨🇿    Czech Republic  Prague              10.124.2.33   146.70.129.98    2001:ac8:33:c::a01f                   10     3541      ❌     M247           ✔️      cz-prg-wg-101 
 🇨🇿    Czech Republic  Prague              10.124.2.34   146.70.129.130   2001:ac8:33:d::a02f                   10     3542      ❌     M247           ✔️      cz-prg-wg-102 
 🇨🇿    Czech Republic  Prague              10.124.2.57   178.249.209.162  2a02:6ea0:c201:1::f001                10     3565      ❌     DataPacket     ✔️      cz-prg-wg-201 
 🇨🇿    Czech Republic  Prague              10.124.2.58   178.249.209.175  2a02:6ea0:c201:1::f101                10     3566      ❌     DataPacket     ✔️      cz-prg-wg-202 
 🇩🇪    Germany         Berlin              10.124.0.7    193.32.248.66    2a03:1b20:b:f011::a01f                20     3007      ✔️     31173          ✔️      de-ber-wg-001 
 🇩🇪    Germany         Berlin              10.124.0.8    193.32.248.67    2a03:1b20:b:f011::a02f                20     3008      ✔️     31173          ✔️      de-ber-wg-002 
 🇩🇪    Germany         Berlin              10.124.0.9    193.32.248.68    2a03:1b20:b:f011::a03f                20     3009      ✔️     31173          ✔️      de-ber-wg-003 
 🇩🇪    Germany         Berlin              10.124.0.55   193.32.248.69    2a03:1b20:b:f011::a04f                20     3055      ✔️     31173          ✔️      de-ber-wg-004 
 🇩🇪    Germany         Berlin              10.124.0.179  193.32.248.70    2a03:1b20:b:f011::a05f                20     3179      ✔️     31173          ✔️      de-ber-wg-005 
 🇩🇪    Germany         Berlin              10.124.0.196  193.32.248.71    2a03:1b20:b:f011::a06f                20     3196      ✔️     31173          ✔️      de-ber-wg-006 
 🇩🇪    Germany         Berlin              10.124.0.239  193.32.248.75    2a03:1b20:b:f011::f701                20     3239      ✔️     31173          ✔️      de-ber-wg-007 
 🇩🇪    Germany         Berlin              10.124.0.101  193.32.248.74    2a03:1b20:b:f011::f801                20     3101      ✔️     31173          ✔️      de-ber-wg-008 
 🇩🇪    Germany         Dusseldorf          10.124.0.30   185.254.75.3     2a03:d9c0:3000::a20f                  10     3030      ❌     xtom           ✔️      de-dus-wg-001 
 🇩🇪    Germany         Dusseldorf          10.124.0.91   185.254.75.4     2a03:d9c0:3000::a21f                  10     3091      ❌     xtom           ✔️      de-dus-wg-002 
 🇩🇪    Germany         Dusseldorf          10.124.0.92   185.254.75.5     2a03:d9c0:3000::a22f                  10     3092      ❌     xtom           ✔️      de-dus-wg-003 
 🇩🇪    Germany         Frankfurt           10.124.0.53   185.213.155.73   2a03:1b20:6:f011::f001                20     3053      ✔️     31173          ✔️      de-fra-wg-001 
 🇩🇪    Germany         Frankfurt           10.124.0.54   185.213.155.74   2a03:1b20:6:f011::f101                20     3054      ✔️     31173          ✔️      de-fra-wg-002 
 🇩🇪    Germany         Frankfurt           10.124.1.23   185.209.196.73   2a03:1b20:6:f011::f201                20     3277      ✔️     31173          ✔️      de-fra-wg-003 
 🇩🇪    Germany         Frankfurt           10.124.1.26   185.209.196.74   2a03:1b20:6:f011::f301                20     3280      ✔️     31173          ✔️      de-fra-wg-004 
 🇩🇪    Germany         Frankfurt           10.124.1.27   185.209.196.75   2a03:1b20:6:f011::f401                20     3281      ✔️     31173          ✔️      de-fra-wg-005 
 🇩🇪    Germany         Frankfurt           10.124.0.222  185.209.196.76   2a03:1b20:6:f011::f501                20     3222      ✔️     31173          ✔️      de-fra-wg-006 
 🇩🇪    Germany         Frankfurt           10.124.1.24   185.209.196.77   2a03:1b20:6:f011::f601                20     3278      ✔️     31173          ✔️      de-fra-wg-007 
 🇩🇪    Germany         Frankfurt           10.124.0.240  185.213.155.72   2a03:1b20:6:f011::f901                20     3240      ✔️     31173          ✔️      de-fra-wg-009 
 🇩🇪    Germany         Frankfurt           10.124.1.243  146.70.117.162   2001:ac8:20:274::a99f                 10     3497      ❌     M247           ✔️      de-fra-wg-101 
 🇩🇪    Germany         Frankfurt           10.124.1.238  146.70.117.194   2001:ac8:20:275::f001                 10     3492      ❌     M247           ✔️      de-fra-wg-102 
 🇩🇪    Germany         Frankfurt           10.124.1.239  146.70.117.226   2001:ac8:20:276::f001                 10     3493      ❌     M247           ✔️      de-fra-wg-103 
 🇩🇪    Germany         Frankfurt           10.124.1.240  146.70.107.194   2001:ac8:20:277::f001                 10     3494      ❌     M247           ✔️      de-fra-wg-104 
 🇩🇪    Germany         Frankfurt           10.124.1.241  146.70.117.2     2001:ac8:20:269::f001                 10     3495      ❌     M247           ✔️      de-fra-wg-105 
 🇩🇪    Germany         Frankfurt           10.124.1.242  146.70.117.34    2001:ac8:20:270::f001                 10     3496      ❌     M247           ✔️      de-fra-wg-106 
 🇩🇪    Germany         Frankfurt           10.124.1.30   194.36.25.3      2a07:fe00:1::a23f                     10     3284      ❌     xtom           ✔️      de-fra-wg-301 
 🇩🇪    Germany         Frankfurt           10.124.1.31   194.36.25.18     2a07:fe00:1::a24f                     10     3285      ❌     xtom           ✔️      de-fra-wg-302 
 🇩🇪    Germany         Frankfurt           10.124.1.33   194.36.25.48     2a07:fe00:1::a26f                     10     3287      ❌     xtom           ✔️      de-fra-wg-304 
 🇩🇪    Germany         Frankfurt           10.124.1.250  169.150.201.2    2a02:6ea0:c762:1::a35f                10     3504      ❌     DataPacket     ✔️      de-fra-wg-401 
 🇩🇪    Germany         Frankfurt           10.124.1.251  169.150.201.15   2a02:6ea0:c762:2::a36f                10     3505      ❌     DataPacket     ✔️      de-fra-wg-402 
 🇩🇪    Germany         Frankfurt           10.124.1.252  169.150.201.28   2a02:6ea0:c762:3::a37f                10     3506      ❌     DataPacket     ✔️      de-fra-wg-403 
 🇩🇰    Denmark         Copenhagen          10.124.0.64   45.129.56.67     2a03:1b20:8:f011::f001                20     3064      ✔️     31173          ✔️      dk-cph-wg-001 
 🇩🇰    Denmark         Copenhagen          10.124.0.17   45.129.56.68     2a03:1b20:8:f011::f101                20     3017      ✔️     31173          ✔️      dk-cph-wg-002 
 🇩🇰    Denmark         Copenhagen          10.124.0.229  146.70.197.194   2001:ac8:37:97::f001                  10     3229      ❌     M247           ✔️      dk-cph-wg-401 
 🇩🇰    Denmark         Copenhagen          10.124.0.230  146.70.197.130   2001:ac8:37:96::f001                  10     3230      ❌     M247           ✔️      dk-cph-wg-402 
 🇪🇪    Estonia         Tallinn             10.124.0.138  194.127.167.67   2a07:d880:2::a01f                     10     3138      ❌     xtom           ✔️      ee-tll-wg-001 
 🇪🇪    Estonia         Tallinn             10.124.0.139  194.127.167.87   2a07:d880:2::a02f                     10     3139      ❌     xtom           ✔️      ee-tll-wg-002 
 🇪🇪    Estonia         Tallinn             10.124.0.140  194.127.167.107  2a07:d880:2::a03f                     10     3140      ❌     xtom           ✔️      ee-tll-wg-003 
 🇪🇸    Spain           Barcelona           10.124.0.252  185.188.61.195   2a06:3040:2:210::f001                 10     3252      ❌     HostRoyale     ✔️      es-bcn-wg-001 
 🇪🇸    Spain           Barcelona           10.124.0.253  185.188.61.225   2a06:3040:2:210::f101                 10     3253      ❌     HostRoyale     ✔️      es-bcn-wg-002 
 🇪🇸    Spain           Barcelona           10.124.1.69   185.253.99.30    2001:ac8:35:1::f001                   10     3323      ❌     M247           ✔️      es-bcn-wg-101 
 🇪🇸    Spain           Barcelona           10.124.1.70   185.253.99.98    2001:ac8:35:1::f101                   10     3324      ❌     M247           ✔️      es-bcn-wg-102 
 🇪🇸    Spain           Madrid              10.124.1.223  45.134.213.194   2a02:6ea0:c318:1::a06f                10     3477      ❌     DataPacket     ✔️      es-mad-wg-101 
 🇪🇸    Spain           Madrid              10.124.1.222  45.134.213.207   2a02:6ea0:c318:2::a07f                10     3476      ❌     DataPacket     ✔️      es-mad-wg-102 
 🇪🇸    Spain           Madrid              10.124.2.28   146.70.128.194   2001:ac8:23:85::a01f                  10     3536      ❌     M247           ✔️      es-mad-wg-201 
 🇪🇸    Spain           Madrid              10.124.2.47   146.70.128.226   2001:ac8:23:86::a02f                  10     3555      ❌     M247           ✔️      es-mad-wg-202 
 🇪🇸    Spain           Valencia            10.124.1.3    193.19.207.225   2a06:3040:3:210::f101                 10     3257      ❌     HostRoyale     ✔️      es-vlc-wg-002 
 🇫🇮    Finland         Helsinki            10.124.0.21   185.204.1.203    2a0c:f040:0:2790::a01f                10     3021      ✔️     Creanova       ✔️      fi-hel-wg-001 
 🇫🇮    Finland         Helsinki            10.124.0.111  185.204.1.211    2a0c:f040:0:2790::a02f                10     3111      ✔️     Creanova       ✔️      fi-hel-wg-002 
 🇫🇮    Finland         Helsinki            10.124.0.112  185.204.1.219    2a0c:f040:0:2790::a03f                10     3112      ✔️     Creanova       ✔️      fi-hel-wg-003 
 🇫🇮    Finland         Helsinki            10.124.2.53   193.138.7.137    2a02:ed04:3581:1::f001                10     3561      ✔️     Blix           ✔️      fi-hel-wg-101 
 🇫🇮    Finland         Helsinki            10.124.2.54   193.138.7.157    2a02:ed04:3581:2::f001                10     3562      ✔️     Blix           ✔️      fi-hel-wg-102 
 🇫🇮    Finland         Helsinki            10.124.2.55   193.138.7.177    2a02:ed04:3581:3::f001                10     3563      ✔️     Blix           ✔️      fi-hel-wg-103 
 🇫🇮    Finland         Helsinki            10.124.2.56   193.138.7.197    2a02:ed04:3581:4::f001                10     3564      ✔️     Blix           ✔️      fi-hel-wg-104 
 🇫🇷    France          Bordeaux            10.124.1.64   45.134.79.97     2a06:3040:4:610::f101                 10     3318      ❌     HostRoyale     ✔️      fr-bod-wg-002 
 🇫🇷    France          Marseille           10.124.0.45   138.199.15.162   2a02:6ea0:dc05::a15f                  10     3045      ❌     DataPacket     ✔️      fr-mrs-wg-001 
 🇫🇷    France          Marseille           10.124.1.183  138.199.15.146   2a02:6ea0:dc06::a16f                  10     3437      ❌     DataPacket     ✔️      fr-mrs-wg-002 
 🇫🇷    France          Paris               10.124.0.116  193.32.126.66    2a03:1b20:9:f011::a01f                20     3116      ✔️     31173          ✔️      fr-par-wg-001 
 🇫🇷    France          Paris               10.124.0.117  193.32.126.67    2a03:1b20:9:f011::f101                20     3117      ✔️     31173          ✔️      fr-par-wg-002 
 🇫🇷    France          Paris               10.124.0.118  193.32.126.68    2a03:1b20:9:f011::f201                20     3118      ✔️     31173          ✔️      fr-par-wg-003 
 🇫🇷    France          Paris               10.124.0.119  193.32.126.69    2a03:1b20:9:f011::f301                20     3119      ✔️     31173          ✔️      fr-par-wg-004 
 🇫🇷    France          Paris               10.124.0.120  193.32.126.70    2a03:1b20:9:f011::f401                20     3120      ✔️     31173          ✔️      fr-par-wg-005 
 🇫🇷    France          Paris               10.124.0.238  193.32.126.84    2a03:1b20:9:f011::f001                20     3238      ✔️     31173          ✔️      fr-par-wg-006 
 🇫🇷    France          Paris               10.124.0.142  193.32.126.83    2a03:1b20:9:f011::3f                  20     3142      ✔️     31173          ✔️      fr-par-wg-007 
 🇫🇷    France          Paris               10.124.0.223  146.70.184.2     2001:ac8:25:3a::f001                  10     3223      ❌     M247           ✔️      fr-par-wg-101 
 🇫🇷    France          Paris               10.124.0.224  146.70.184.66    2001:ac8:25:3b::f001                  10     3224      ❌     M247           ✔️      fr-par-wg-102 
 🇫🇷    France          Paris               10.124.1.78   95.173.222.2     2a02:6ea0:1901:2::f001                10     3332      ❌     DataPacket     ✔️      fr-par-wg-301 
 🇫🇷    France          Paris               10.124.1.79   95.173.222.31    2a02:6ea0:1901:3::f001                10     3333      ❌     DataPacket     ✔️      fr-par-wg-302 
 🇬🇧    UK              Glasgow             10.124.0.246  185.201.188.3    2a06:3040:d:410::f001                 10     3246      ❌     HostRoyale     ✔️      gb-glw-wg-001 
 🇬🇧    UK              Glasgow             10.124.0.247  185.201.188.33   2a06:3040:d:410::f101                 10     3247      ❌     HostRoyale     ✔️      gb-glw-wg-002 
 🇬🇧    UK              London              10.124.0.59   141.98.252.130   2a03:1b20:7:f011::a01f                20     3059      ✔️     31173          ✔️      gb-lon-wg-001 
 🇬🇧    UK              London              10.124.0.60   141.98.252.222   2a03:1b20:7:f011::a02f                20     3060      ✔️     31173          ✔️      gb-lon-wg-002 
 🇬🇧    UK              London              10.124.1.16   185.195.232.66   2a03:1b20:7:f011::a11f                20     3270      ✔️     31173          ✔️      gb-lon-wg-003 
 🇬🇧    UK              London              10.124.1.17   185.195.232.67   2a03:1b20:7:f011::a12f                20     3271      ✔️     31173          ✔️      gb-lon-wg-004 
 🇬🇧    UK              London              10.124.1.18   185.195.232.68   2a03:1b20:7:f011::a13f                20     3272      ✔️     31173          ✔️      gb-lon-wg-005 
 🇬🇧    UK              London              10.124.1.19   185.195.232.69   2a03:1b20:7:f011::a14f                20     3273      ✔️     31173          ✔️      gb-lon-wg-006 
 🇬🇧    UK              London              10.124.1.28   185.195.232.70   2a03:1b20:7:f011::a15f                20     3282      ✔️     31173          ✔️      gb-lon-wg-007 
 🇬🇧    UK              London              10.124.1.62   141.98.252.138   2a03:1b20:7:f011::f801                20     3316      ✔️     31173          ✔️      gb-lon-wg-008 
 🇬🇧    UK              London              10.124.1.34   185.248.85.3     2a0b:89c1:3::a33f                     10     3288      ❌     xtom           ✔️      gb-lon-wg-201 
 🇬🇧    UK              London              10.124.1.35   185.248.85.18    2a0b:89c1:3::a34f                     10     3289      ❌     xtom           ✔️      gb-lon-wg-202 
 🇬🇧    UK              London              10.124.1.91   185.248.85.33    2a0b:89c1:3::a35f                     10     3345      ❌     xtom           ✔️      gb-lon-wg-203 
 🇬🇧    UK              London              10.124.1.164  185.248.85.48    2a0b:89c1:3::a36f                     10     3418      ❌     xtom           ✔️      gb-lon-wg-204 
 🇬🇧    UK              London              10.124.1.249  146.70.119.66    2001:ac8:31:f007::a39f                10     3503      ❌     M247           ✔️      gb-lon-wg-301 
 🇬🇧    UK              London              10.124.1.247  146.70.119.2     2001:ac8:31:f005::a37f                10     3501      ❌     M247           ✔️      gb-lon-wg-302 
 🇬🇧    UK              London              10.124.1.248  146.70.119.34    2001:ac8:31:f006::a38f                10     3502      ❌     M247           ✔️      gb-lon-wg-303 
 🇬🇧    UK              London              10.124.0.237  146.70.119.162   2001:ac8:31:f00a::f001                10     3237      ❌     M247           ✔️      gb-lon-wg-304 
 🇬🇧    UK              Manchester          10.124.2.20   146.70.133.98    2001:ac8:8b:2d::a47f                  10     3528      ❌     M247           ✔️      gb-mnc-wg-001 
 🇬🇧    UK              Manchester          10.124.2.13   146.70.132.130   2001:ac8:8b:26::f001                  10     3521      ❌     M247           ✔️      gb-mnc-wg-002 
